Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-25,Megalopolis,2024,https://boxd.it/8BhzYr,2.5,,,2025-01-25
2025-02-13,The Witcher: Sirens of the Deep,2025,https://boxd.it/8Ot2eB,3,,,2025-02-12
2025-02-16,The Gorge,2025,https://boxd.it/8Qh9Xn,4.5,,,2025-02-15
2025-02-18,Arrival,2016,https://boxd.it/8RRZMH,5,Yes,,2025-02-17
2025-02-24,Companion,2025,https://boxd.it/8VYaKl,4,,,2025-02-24
2025-03-11,Captain America: Brave New World,2025,https://boxd.it/95rD8p,3,,,2025-03-10
2025-03-12,The Priests,2015,https://boxd.it/962Nhl,3.5,,,2025-03-11
2025-03-30,Dark Nuns,2025,https://boxd.it/9gucVJ,2.5,,,2025-03-30
2025-04-25,The Woman in the Yard,2025,https://boxd.it/9vtxPZ,2.5,,,2025-04-24
2025-05-19,"Love, Death & Robots: Can't Stop",2025,https://boxd.it/9JUDrT,0.5,,,2025-05-19
2025-05-19,"Love, Death & Robots: Close Encounters of the Mini Kind",2025,https://boxd.it/9JUG7H,3,,,2025-05-19
2025-05-19,"Love, Death & Robots: Spider Rose",2025,https://boxd.it/9JUIyv,4,,,2025-05-19
2025-05-19,"Love, Death & Robots: 400 Boys",2025,https://boxd.it/9JUJbd,2.5,,,2025-05-19
2025-05-19,"Love, Death & Robots: The Other Large Thing",2025,https://boxd.it/9JUJuz,3,,,2025-05-19
2025-05-19,"Love, Death & Robots: Golgotha",2025,https://boxd.it/9JUJDB,1,,,2025-05-19
2025-05-19,"Love, Death & Robots: The Screaming of the Tyrannosaur",2025,https://boxd.it/9JUJVF,3,,,2025-05-19
2025-05-19,"Love, Death & Robots: How Zeke Got Religion",2025,https://boxd.it/9JULBd,3.5,,,2025-05-19
2025-05-19,"Love, Death & Robots: Smart Appliances, Stupid Owners",2025,https://boxd.it/9JULSj,2.5,,,2025-05-19
2025-05-19,"Love, Death & Robots: For He Can Creep",2025,https://boxd.it/9JUM6v,2.5,,,2025-05-19
2025-05-28,Fountain of Youth,2025,https://boxd.it/9P78hT,3.5,,,2025-05-27
2025-05-29,Sinners,2025,https://boxd.it/9PJ3X7,4.5,,,2025-05-29
2025-06-05,The Electric State,2025,https://boxd.it/9Ucfdp,0.5,,,2025-06-05
2025-06-06,Thunderbolts*,2025,https://boxd.it/9UEtX3,4.5,,,2025-06-06
2025-06-07,Death of a Unicorn,2025,https://boxd.it/9V5oIr,3,,,2025-06-06
2025-07-15,Bring Her Back,2025,https://boxd.it/al2hvD,3.5,,,2025-07-14
2025-07-17,Vivarium,2019,https://boxd.it/amGGUx,4,,,2025-07-15
2025-07-16,The Monkey,2025,https://boxd.it/alCWjZ,3,,,2025-07-16
2025-07-17,Predator: Killer of Killers,2025,https://boxd.it/amGK3x,4,,,2025-07-16
2025-07-17,Ash,2025,https://boxd.it/amsE55,2,,,2025-07-17
2025-07-18,Nosferatu,2024,https://boxd.it/an5Qi9,4,,,2025-07-18
2025-07-19,The Menu,2022,https://boxd.it/anJsx5,5,,,2025-07-18
2025-07-20,Mickey 17,2025,https://boxd.it/aoDHt5,4,,,2025-07-19
2025-07-20,Dreamcatcher,2003,https://boxd.it/aoP6BZ,3,,,2025-07-20
2025-07-23,The Old Guard 2,2025,https://boxd.it/aqRmHh,2,,,2025-07-21
2025-07-23,Superman,2025,https://boxd.it/aqRfmh,4,,,2025-07-22
2025-07-26,40 Acres,2024,https://boxd.it/atU6rZ,3,,,2025-07-25
2025-07-31,28 Years Later,2025,https://boxd.it/axDOSx,4,,,2025-07-30
2025-08-13,Jurassic World Rebirth,2025,https://boxd.it/aHQb7X,3,,,2025-08-12
2025-08-23,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/aOYi6B,4,,,2025-08-21
2025-08-30,Eyes of Wakanda,2025,https://boxd.it/aUatix,3,,,2025-08-30
2025-09-02,Together,2025,https://boxd.it/aWbArr,4,,,2025-09-01
2025-09-05,Ne Zha 2,2025,https://boxd.it/aY5ktd,5,,,2025-09-04
2025-09-07,Presence,2024,https://boxd.it/aZBSGN,3,,,2025-09-07
2025-09-08,Color Out of Space,2019,https://boxd.it/b09csR,4,Yes,,2025-09-07
2025-09-09,Skinamarink,2022,https://boxd.it/b0JTvL,3,,,2025-09-08
2025-09-10,Weapons,2025,https://boxd.it/b1q6ex,4,,,2025-09-09
2025-09-14,Last Night in Soho,2021,https://boxd.it/b3Xisl,3,,,2025-09-14
2025-09-16,Blade Runner 2049,2017,https://boxd.it/b54zUT,5,,,2025-09-15
2025-09-17,The Long Walk,2025,https://boxd.it/b5LZ3H,3,,,2025-09-17
2025-09-21,Midsommar,2019,https://boxd.it/b83ziP,5,Yes,"creepy, disturbing, beautiful, crazy",2025-09-21
2025-09-22,Exit 8,2025,https://boxd.it/b92Ik3,4,,,2025-09-22
2025-09-24,The Fantastic 4: First Steps,2025,https://boxd.it/b9LwRT,4,,,2025-09-23
2025-09-27,Marvel Zombies,2025,https://boxd.it/bbOcpp,3,,,2025-09-26
2025-10-04,Omniscient Reader: The Prophecy,2025,https://boxd.it/bfICH9,2,,,2025-10-04
2025-10-06,Rabbit Trap,2025,https://boxd.it/bh1w3T,4,,,2025-10-05
2025-10-08,The Conjuring: Last Rites,2025,https://boxd.it/bipUIX,3,,,2025-10-07
2025-10-10,HIM,2025,https://boxd.it/bjxGFP,3,,,2025-10-09
2025-10-13,The Astronaut,2025,https://boxd.it/blydut,3,,,2025-10-12
2025-10-23,Evil Dead Rise,2023,https://boxd.it/bswKoR,3,,,2025-10-21
2025-10-27,A House of Dynamite,2025,https://boxd.it/bvAFhV,2,,,2025-10-27
2025-11-07,The Black Phone,2021,https://boxd.it/bCV8fd,3,,,2025-11-07
2025-11-09,Black Phone 2,2025,https://boxd.it/bDQCAp,3,,,2025-11-08
2025-11-22,Frankenstein,2025,https://boxd.it/bMXDPP,4,,,2025-11-21
2025-12-06,Predator: Badlands,2025,https://boxd.it/bWAdhL,4,,,2025-12-06
2025-12-08,TRON: Ares,2025,https://boxd.it/bY3zu5,4,,,2025-12-08
2025-12-22,It Ends,2025,https://boxd.it/c9XC7f,4,,,2025-12-22
2026-01-02,Troll 2,2025,https://boxd.it/cmrQyx,1,,,2026-01-01
2026-01-03,Stranger Things 5: The Finale,2025,https://boxd.it/co5xOl,3,,,2026-01-02
2026-01-03,The Great Flood,2025,https://boxd.it/co63vb,4,,,2026-01-02
2026-01-03,Keeper,2025,https://boxd.it/cpjkvH,4,,,2026-01-03
2026-01-06,Shelby Oaks,2024,https://boxd.it/ct4GLt,3,,,2026-01-05
2026-01-07,No Other Choice,2025,https://boxd.it/cv60zn,5,,,2026-01-07
2026-01-08,Now You See Me: Now You Don't,2025,https://boxd.it/cvsNw7,3,,,2026-01-07
2026-01-10,Bugonia,2025,https://boxd.it/cy6kdD,5,,,2026-01-10
2026-01-23,V/H/S/Beyond,2024,https://boxd.it/cLKsDh,5,,,2026-01-22
2026-01-27,Missing Child Videotape,2024,https://boxd.it/cQJMnr,4,,,2026-01-27
2026-02-02,Greenland 2: Migration,2026,https://boxd.it/cWGwVF,3,,,2026-02-02
2026-02-04,We Bury the Dead,2024,https://boxd.it/cZ3a1f,4,,,2026-02-04
2026-02-12,Marui Video,2023,https://boxd.it/d5hxar,3,,,2026-02-06
2026-02-09,Late Night with the Devil,2023,https://boxd.it/d3v9IJ,4,,,2026-02-08
2026-02-10,The Borderlands,2013,https://boxd.it/d4v8Cp,4,,,2026-02-10
2026-02-11,Return to Silent Hill,2026,https://boxd.it/d4GuPn,2,,,2026-02-10
2026-02-12,V/H/S/2,2013,https://boxd.it/d5hM8P,3,,,2026-02-11
2026-02-14,Savageland,2015,https://boxd.it/d6PEMp,2,,,2026-02-13
2026-02-17,Troll Hunter,2010,https://boxd.it/daV6e7,4,,,2026-02-17
2026-02-20,28 Years Later: The Bone Temple,2026,https://boxd.it/ddc8ZL,4,,,2026-02-19
2026-03-01,Project Y,2025,https://boxd.it/dkVrP9,2,,,2026-02-28
2026-03-08,Whistle,2025,https://boxd.it/dqr9Rv,3,,,2026-03-07
2026-03-14,War Machine,2026,https://boxd.it/dvVoSN,3,,,2026-03-09
2026-03-14,Bodycam,2025,https://boxd.it/dvVkvP,3,,,2026-03-14
2026-03-22,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/dC9IyZ,4,,,2026-03-21
2026-04-05,GOAT,2026,https://boxd.it/dPtOBR,3,,,2026-04-05
2026-04-08,Do Not Enter,2026,https://boxd.it/dSH0xZ,3,,,2026-04-08
2026-04-12,Monolith,2022,https://boxd.it/dWwzDH,3,,,2026-04-12
2026-04-13,Ready or Not 2: Here I Come,2026,https://boxd.it/dWNHeT,4,,,2026-04-12
2026-04-20,undertone,2025,https://boxd.it/e2rxwD,5,,,2026-04-19
2026-05-19,The Punisher: One Last Kill,2026,https://boxd.it/epREnH,3,,,2026-05-13
